Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Colorado,8,2016,2016,Female,F,243,2754727,8.8
,Colorado,8,2016,2016,Male,M,433,2785818,15.5
Total,Colorado,8,2016,2016,,,676,5540545,12.2
,Colorado,8,2017,2017,Female,F,285,2784821,10.2
,Colorado,8,2017,2017,Male,M,496,2822333,17.6
Total,Colorado,8,2017,2017,,,781,5607154,13.9
,Colorado,8,2018,2018,Female,F,249,2827696,8.8
,Colorado,8,2018,2018,Male,M,545,2867868,19
Total,Colorado,8,2018,2018,,,794,5695564,13.9
,Colorado,8,2019,2019,Female,F,299,2857388,10.5
,Colorado,8,2019,2019,Male,M,572,2901348,19.7
Total,Colorado,8,2019,2019,,,871,5758736,15.1
,Colorado,8,2020,2020,Female,F,378,2881832,13.1
,Colorado,8,2020,2020,Male,M,894,2925887,30.6
Total,Colorado,8,2020,2020,,,1272,5807719,21.9
Total,Colorado,8,,,,,6128,44490525,13.8
,Connecticut,9,2013,2013,Female,F,144,1841929,7.8
,Connecticut,9,2013,2013,Male,M,344,1754151,19.6
Total,Connecticut,9,2013,2013,,,488,3596080,13.6
,Connecticut,9,2014,2014,Female,F,177,1842128,9.6
,Connecticut,9,2014,2014,Male,M,376,1754549,21.4
Total,Connecticut,9,2014,2014,,,553,3596677,15.4
,Connecticut,9,2015,2015,Female,F,198,1839139,10.8
,Connecticut,9,2015,2015,Male,M,528,1751747,30.1
Total,Connecticut,9,2015,2015,,,726,3590886,20.2
,Connecticut,9,2016,2016,Female,F,242,1830837,13.2
,Connecticut,9,2016,2016,Male,M,653,1745615,37.4
Total,Connecticut,9,2016,2016,,,895,3576452,25
,Connecticut,9,2017,2017,Female,F,255,1836384,13.9
,Connecticut,9,2017,2017,Male,M,742,1751800,42.4
Total,Connecticut,9,2017,2017,,,997,3588184,27.8
,Connecticut,9,2018,2018,Female,F,252,1829270,13.8
,Connecticut,9,2018,2018,Male,M,747,1743395,42.8
Total,Connecticut,9,2018,2018,,,999,3572665,28
,Connecticut,9,2019,2019,Female,F,279,1825870,15.3
,Connecticut,9,2019,2019,Male,M,864,1739417,49.7
